Id,Name,City,CountryId,IATA,ICAO,Latitude,Longitude,Altitude,Offset,DST,TimeZone
1,Goroka,Goroka,PG,GKA,AYGA,-6.081689,145.391881,5282,10,U,Pacific/Port_Moresby
2,Madang,Madang,PG,MAG,AYMD,-5.207083,145.7887,20,10,U,Pacific/Port_Moresby
3,Mount Hagen,Mount Hagen,PG,HGU,AYMH,-5.826789,144.295861,5388,10,U,Pacific/Port_Moresby
4,Nadzab,Nadzab,PG,LAE,AYNZ,-6.569828,146.726242,239,10,U,Pacific/Port_Moresby
5,Port Moresby Jacksons Intl,Port Moresby,PG,POM,AYPY,-9.443383,147.22005,146,10,U,Pacific/Port_Moresby
6,Wewak Intl,Wewak,PG,WWK,AYWK,-3.583828,143.669186,19,10,U,Pacific/Port_Moresby
7,Narsarsuaq,Narssarssuaq,GL,UAK,BGBW,61.160517,-45.425978,112,-3,E,America/Godthab
8,Nuuk,Godthaab,GL,GOH,BGGH,64.190922,-51.678064,283,-3,E,America/Godthab
9,Sondre Stromfjord,Sondrestrom,GL,SFJ,BGSF,67.016969,-50.689325,165,-3,E,America/Godthab
10,Thule Air Base,Thule,GL,THU,BGTL,76.531203,-68.703161,251,-4,E,America/Thule
11,Akureyri,Akureyri,IS,AEY,BIAR,65.659994,-18.072703,6,0,N,Atlantic/Reykjavik
12,Egilsstadir,Egilsstadir,IS,EGS,BIEG,65.283333,-14.401389,76,0,N,Atlantic/Reykjavik
13,Hornafjordur,Hofn,IS,HFN,BIHN,64.295556,-15.227222,24,0,N,Atlantic/Reykjavik
14,Husavik,Husavik,IS,HZK,BIHU,65.952328,-17.425978,48,0,N,Atlantic/Reykjavik
15,Isafjordur,Isafjordur,IS,IFJ,BIIS,66.058056,-23.135278,8,0,N,Atlantic/Reykjavik
16,Keflavik International Airport,Keflavik,IS,KEF,BIKF,63.985,-22.605556,171,0,N,Atlantic/Reykjavik
17,Patreksfjordur,Patreksfjordur,IS,PFJ,BIPA,65.555833,-23.965,11,0,N,Atlantic/Reykjavik
18,Reykjavik,Reykjavik,IS,RKV,BIRK,64.13,-21.940556,48,0,N,Atlantic/Reykjavik
19,Siglufjordur,Siglufjordur,IS,SIJ,BISI,66.133333,-18.916667,10,0,N,Atlantic/Reykjavik
